id,type,symbol,entry_date,exit_date,entry,exit,shares,pnl,return_pct,agg_pnl,bars,pnl_per_bar,stop
330,long,COHU,2020-03-02,2022-11-07,20.41,33.1,2,25.38,62.18,2945.96,678,0.04,
331,long,IBM,2022-07-07,2022-11-11,140.08,142.55,2,4.94,1.76,2950.9,90,0.05,
332,long,HPQ,2022-04-08,2022-11-14,39.22,30.49,1,-8.73,-22.26,2942.17,151,-0.06,
333,long,GE,2020-12-04,2022-12-02,66.95,66.89,1,-0.06,-0.09,2942.11,502,-0.0,
334,long,GE,2021-01-05,2022-12-02,66.51,66.89,1,0.38,0.57,2942.49,482,0.0,
335,long,GE,2021-01-21,2022-12-02,70.26,66.89,1,-3.37,-4.8,2939.12,471,-0.01,
336,long,GE,2021-01-22,2022-12-02,68.95,66.89,1,-2.06,-2.99,2937.06,470,-0.0,
337,long,GE,2021-06-21,2022-12-02,81.34,66.89,0,0.0,-17.76,2937.06,367,0.0,
338,long,INTC,2021-03-17,2022-12-06,65.0,28.82,1,-36.18,-55.66,2900.88,435,-0.08,
339,long,COHU,2020-03-02,2022-12-06,20.41,34.86,1,14.45,70.8,2915.33,698,0.02,
340,long,GE,2021-06-21,2022-12-14,81.34,64.28,1,-17.06,-20.97,2898.27,375,-0.05,
341,long,GE,2022-04-01,2022-12-14,71.69,64.28,0,0.0,-10.34,2898.27,177,0.0,
342,long,HPQ,2022-04-08,2022-12-28,39.22,26.82,1,-12.4,-31.62,2885.87,181,-0.07,
