date,mva_qld_simple_60,mva_jesse_60,mva_old_tech_60
2020-09-08,0.3361638505976912,0.33476003330826143,0.3290761160940473
2020-09-09,0.3366007661018341,0.33497452329564814,0.32842471060251777
2020-09-10,0.3373160593654372,0.33588666969003467,0.32679727094452815
2020-09-11,0.33618285825782396,0.3369901728472408,0.3268269688949353
2020-09-14,0.33541527959348716,0.3383877455092266,0.3261969748972862
2020-09-15,0.33549192696377417,0.3389870697503019,0.32552100328592387
2020-09-16,0.3333431055784759,0.3405374003729853,0.3261194940485389
2020-09-17,0.33188014379281056,0.3402217822856,0.3278980739215894
2020-09-18,0.33075673850175913,0.34063895530977645,0.32860430618846426
2020-09-21,0.33134559979347056,0.3417687838544045,0.3268856163521248
2020-09-22,0.33258146998956306,0.340975787210826,0.3264427427996108
2020-09-23,0.3321154977907309,0.3422085041438797,0.3256759980653893
2020-09-24,0.33377864937225,0.34080204498417177,0.32541930564357824
2020-09-25,0.33331668346250937,0.34046117371784157,0.326222142819649
2020-09-28,0.3333598316733308,0.3400014363172761,0.3266387320093931
2020-09-29,0.3322575669630306,0.34081428556821125,0.3269281474687582
2020-09-30,0.33121094925581496,0.34121305481814324,0.3275759959260417
2020-10-01,0.33065708257649185,0.3416895385695449,0.3276533788539633
2020-10-02,0.3281216787864463,0.34558734708136246,0.3262909741321912
2020-10-05,0.32776268548640314,0.34541025698041133,0.3268270575331856
2020-10-06,0.3284279872876355,0.3429117759285092,0.3286602367838553
2020-10-07,0.32814989300019515,0.34391396550702624,0.32793614149277855
2020-10-08,0.32910732185996705,0.341761520304516,0.3291311578355169
2020-10-09,0.3296666134701041,0.3411861571378367,0.32914722939205926
2020-10-12,0.3315770124159999,0.3403921275457444,0.3280308600382558
2020-10-13,0.32958648536620383,0.34349610856332574,0.3269174060704704
2020-10-14,0.3304341926790738,0.3428453485529345,0.3267204587679916
2020-10-15,0.32985798220672585,0.3435900132610885,0.3265520045321856
2020-10-16,0.3311563726245866,0.3422826699495264,0.3265609574258871
2020-10-19,0.33051921148955543,0.3420243983785577,0.32745639013188693
2020-10-20,0.32944726184610534,0.3457413075350477,0.32481143061884704
2020-10-21,0.32959675430136065,0.34586721880940213,0.32453602688923733
2020-10-22,0.32983833120894623,0.3452681943086753,0.32489347448237843
2020-10-23,0.3294057315575401,0.346354905887919,0.3242393625545409
2020-10-26,0.32850361520613397,0.3472291207794363,0.3242672640144297
2020-10-27,0.32907901694708624,0.34847784214680555,0.3224431409061082
2020-10-28,0.32875365121654315,0.3487320967130024,0.3225142520704545
2020-10-29,0.3274222886431911,0.3476141219904907,0.32496358936631814
2020-10-30,0.32419167564056095,0.34797901136758325,0.32782931299185575
2020-11-02,0.3241808134223947,0.34620828646647955,0.3296109001111257
2020-11-03,0.32553693918020676,0.3433301737472034,0.33113288707258975
2020-11-04,0.3303130673359884,0.33848366043519124,0.33120327222882046
2020-11-05,0.33084890441128023,0.3371950844612598,0.33195601112746004
2020-11-06,0.3310700486664399,0.3360596252460806,0.33287032608747946
2020-11-09,0.32734612241077793,0.3401951138680091,0.332458763721213
2020-11-10,0.32541143747856743,0.3424349518433635,0.33215361067806914
2020-11-11,0.3246621129542173,0.3426539355489661,0.3326839514968166
2020-11-12,0.3252164657239527,0.34192661843553435,0.33285691584051297
2020-11-13,0.32326668187358537,0.3425779289811617,0.3341553891452529
2020-11-16,0.32071416344298276,0.3431320089869242,0.33615382757009293
2020-11-17,0.32134995020276436,0.34294185271562483,0.33570819708161076
