id,type,symbol,entry_date,exit_date,entry,exit,shares,pnl,return_pct,agg_pnl,bars,pnl_per_bar,stop
51,long,MSB,2020-01-03,2020-02-10,23.6,20.23,1,-3.37,-14.28,1119.75,25,-0.13,
52,long,RVLV,2020-01-03,2020-02-12,18.46,19.37,3,2.73,4.93,1122.48,27,0.1,
53,long,SIMO,2020-02-10,2020-02-12,46.28,47.36,32,34.56,2.33,1157.04,2,17.28,
54,long,VALE,2020-01-24,2020-02-13,12.98,11.95,1,-1.03,-7.94,1156.01,14,-0.07,
55,long,DMLP,2020-01-24,2020-02-13,17.51,15.63,1,-1.88,-10.74,1154.13,14,-0.13,
56,long,RVLV,2020-01-03,2020-02-13,18.46,19.03,2,1.14,3.09,1155.27,28,0.04,
57,long,META,2020-02-12,2020-02-13,209.31,211.75,7,17.08,1.17,1172.35,1,17.08,
58,long,RVLV,2020-01-03,2020-02-19,18.46,20.15,57,96.33,9.15,1268.68,31,3.11,
59,long,RVLV,2020-01-09,2020-02-19,19.51,20.15,1,0.64,3.28,1269.32,27,0.02,
60,long,RVLV,2020-01-14,2020-02-19,19.98,20.15,5,0.85,0.85,1270.17,24,0.04,
61,long,RVLV,2020-01-22,2020-02-19,19.91,20.15,2,0.48,1.21,1270.65,19,0.03,
62,long,RVLV,2020-01-23,2020-02-19,18.41,20.15,5,8.7,9.45,1279.35,18,0.48,
63,long,RVLV,2020-01-24,2020-02-19,17.62,20.15,5,12.65,14.36,1292.0,17,0.74,
64,long,RVLV,2020-02-04,2020-02-19,17.4,20.15,2,5.5,15.8,1297.5,10,0.55,
65,long,RVLV,2020-02-10,2020-02-19,18.14,20.15,1,2.01,11.08,1299.51,6,0.34,
66,long,MSB,2020-01-03,2020-02-19,23.6,20.73,1,-2.87,-12.16,1296.64,31,-0.09,
67,long,SIMO,2020-02-13,2020-02-19,47.09,47.29,32,6.4,0.42,1303.04,3,2.13,
68,long,EXPD,2020-01-21,2020-02-20,75.23,75.94,20,14.2,0.94,1317.24,21,0.68,
69,long,DMLP,2020-01-24,2020-02-25,17.51,15.33,2,-4.36,-12.45,1312.88,21,-0.21,
70,long,INMD,2020-02-19,2020-02-25,19.89,17.34,75,-191.25,-12.82,1121.63,4,-47.81,
71,long,INMD,2020-02-20,2020-02-25,20.02,17.34,4,-10.72,-13.39,1110.91,3,-3.57,
72,long,MSB,2020-01-03,2020-02-25,23.6,19.78,4,-15.28,-16.19,1095.63,35,-0.44,
