,0
2020-03-23,67.99838782310054
2020-03-24,59.468430583868894
2020-03-25,64.32200649849464
2020-03-26,60.32843997129787
2020-03-27,62.10416973787007
2020-03-30,60.89747158386023
2020-03-31,61.07412269003175
2020-04-01,63.466111758307086
2020-04-02,63.013974653888496
2020-04-03,62.154770923348956
2020-04-06,59.74375470367026
2020-04-07,60.498423319790696
2020-04-08,60.16450319023332
2020-04-09,59.64595686129284
2020-04-13,59.05111771772099
2020-04-14,58.14087095538867
2020-04-15,59.613676627237176
2020-04-16,59.91469505642667
2020-04-17,59.061855939916086
2020-04-20,60.66635042633146
2020-04-21,61.98535452393442
2020-04-22,61.57214771904705
2020-04-23,61.55899720191823
2020-04-24,59.73969186469999
2020-04-27,57.786471250046326
2020-04-28,58.14865031016776
2020-04-29,56.72601906944011
2020-04-30,57.10369633711304
2020-05-01,59.65857249012423
2020-05-04,59.51725476572756
2020-05-05,58.23114105571761
2020-05-06,58.516160457678126
2020-05-07,57.3001472297743
2020-05-08,55.69631398430054
2020-05-11,54.29712482215333
2020-05-12,56.39627798299088
2020-05-13,58.04782284876213
2020-05-14,57.30987767088447
2020-05-15,57.297217427512884
2020-05-18,55.17178637922719
2020-05-19,56.037599874846634
2020-05-20,55.0828437784623
2020-05-21,55.72589660270657
2020-05-22,55.713116487357375
2020-05-26,55.168005894031246
2020-05-27,54.50385436900456
2020-05-28,55.357698503199394
2020-05-29,54.96929094559477
2020-06-01,55.013940573024975
2020-06-02,54.5286887997803
2020-06-03,53.26211932602888
2020-06-04,53.02867830451721
2020-06-05,50.68335080760047
2020-06-08,51.08905143352519
2020-06-09,52.68587987967178
2020-06-10,52.11330274754522
2020-06-11,57.91062531303881
2020-06-12,57.11804988911737
2020-06-15,56.179877518545254
2020-06-16,55.96127197548362
2020-06-17,56.136329481478874
2020-06-18,55.993652485528045
2020-06-19,56.91464338331797
2020-06-22,55.406251461317666
2020-06-23,54.132882098205116
2020-06-24,56.48087339986243
2020-06-25,54.940560753608416
2020-06-26,57.162660896758744
2020-06-29,55.2053484746377
2020-06-30,53.093030881573235
2020-07-01,52.570889948632605
2020-07-02,52.687284636120665
2020-07-06,52.17511066897453
2020-07-07,53.30907545491973
2020-07-08,52.502673904800304
2020-07-09,53.04899854795432
