id,type,symbol,entry_date,exit_date,entry,exit,shares,pnl,return_pct,agg_pnl,bars,pnl_per_bar,stop
317,long,RVLV,2020-04-07,2020-05-11,9.07,14.26,9,46.71,57.22,-1168.96,23,2.03,
318,long,RVLV,2020-04-08,2020-05-11,9.32,14.26,2,9.88,53.0,-1159.08,22,0.45,
319,long,RVLV,2020-04-22,2020-05-11,11.03,14.26,4,12.92,29.28,-1146.16,13,0.99,
320,long,RVLV,2020-04-23,2020-05-11,10.79,14.26,6,20.82,32.16,-1125.34,12,1.74,
321,long,RVLV,2020-04-24,2020-05-11,10.5,14.26,3,11.28,35.81,-1114.06,11,1.03,
322,long,RVLV,2020-04-29,2020-05-11,11.18,14.26,4,12.32,27.55,-1101.74,8,1.54,
323,long,RVLV,2020-04-30,2020-05-11,10.87,14.26,6,20.34,31.19,-1081.4,7,2.91,
324,long,RVLV,2020-05-05,2020-05-11,10.38,14.26,3,11.64,37.38,-1069.76,4,2.91,
325,long,INMD,2020-03-31,2020-05-12,10.39,13.59,7,22.4,30.8,-1047.36,29,0.77,
326,long,EXPI,2020-05-08,2020-05-12,4.5,4.52,2,0.04,0.44,-1047.32,2,0.02,
327,long,DMLP,2020-01-24,2020-05-13,17.51,10.98,4,-26.12,-37.29,-1073.44,76,-0.34,
328,long,EXPI,2020-05-08,2020-05-13,4.5,4.33,276,-46.92,-3.78,-1120.36,3,-15.64,
329,long,EXPI,2020-05-11,2020-05-13,4.51,4.33,20,-3.6,-3.99,-1123.96,2,-1.8,
330,long,SMLR,2020-05-11,2020-05-13,41.4,41.0,1,-0.4,-0.97,-1124.36,2,-0.2,
331,long,VALE,2020-04-09,2020-05-13,8.59,8.18,1,-0.41,-4.77,-1124.77,23,-0.02,
332,long,MSB,2020-04-08,2020-05-13,13.41,13.24,1,-0.17,-1.27,-1124.94,24,-0.01,
333,long,SMLR,2020-05-11,2020-05-14,41.4,40.11,29,-37.41,-3.12,-1162.35,3,-12.47,
334,long,SMLR,2020-05-12,2020-05-14,40.95,40.11,2,-1.68,-2.05,-1164.03,2,-0.84,
335,long,VALE,2020-04-09,2020-05-14,8.59,8.07,8,-4.16,-6.05,-1168.19,24,-0.17,
336,long,STKS,2020-03-24,2020-05-15,1.06,1.4,12,4.08,32.08,-1164.11,37,0.11,
337,long,EXPI,2020-05-14,2020-05-15,4.15,4.2,296,14.8,1.2,-1149.31,1,14.8,
338,long,VALE,2020-04-09,2020-05-15,8.59,8.38,1,-0.21,-2.44,-1149.52,25,-0.01,
339,long,MSB,2020-04-08,2020-05-15,13.41,13.36,4,-0.2,-0.37,-1149.72,26,-0.01,
340,long,DMLP,2020-01-24,2020-05-18,17.51,11.09,4,-25.68,-36.66,-1175.4,79,-0.33,
341,long,INMD,2020-03-31,2020-05-18,10.39,12.7,58,133.98,22.23,-1041.42,33,4.06,
342,long,INMD,2020-04-01,2020-05-18,10.16,12.7,2,5.08,25.0,-1036.34,32,0.16,
343,long,INMD,2020-04-06,2020-05-18,10.75,12.7,4,7.8,18.14,-1028.54,29,0.27,
344,long,INMD,2020-04-08,2020-05-18,11.54,12.7,3,3.48,10.05,-1025.06,27,0.13,
345,long,INMD,2020-04-13,2020-05-18,11.9,12.7,2,1.6,6.72,-1023.46,25,0.06,
346,long,INMD,2020-04-16,2020-05-18,11.54,12.7,1,1.16,10.05,-1022.3,22,0.05,
347,long,INMD,2020-04-17,2020-05-18,12.22,12.7,3,1.44,3.93,-1020.86,21,0.07,
348,long,INMD,2020-04-22,2020-05-18,11.62,12.7,5,5.4,9.29,-1015.46,18,0.3,
349,long,INMD,2020-04-23,2020-05-18,11.34,12.7,3,4.08,11.99,-1011.38,17,0.24,
350,long,INMD,2020-04-27,2020-05-18,12.01,12.7,2,1.38,5.75,-1010.0,15,0.09,
351,long,INMD,2020-04-29,2020-05-18,12.36,12.7,4,1.36,2.75,-1008.64,13,0.1,
352,long,INMD,2020-05-04,2020-05-18,11.93,12.7,1,0.77,6.45,-1007.87,10,0.08,
353,long,INMD,2020-05-07,2020-05-18,12.19,12.7,2,1.02,4.18,-1006.85,7,0.15,
354,long,INMD,2020-05-08,2020-05-18,12.51,12.7,5,0.95,1.52,-1005.9,6,0.16,
355,long,INMD,2020-05-13,2020-05-18,12.25,12.7,6,2.7,3.67,-1003.2,3,0.9,
356,long,INMD,2020-05-14,2020-05-18,11.4,12.7,5,6.5,11.4,-996.7,2,3.25,
357,long,SMLR,2020-05-15,2020-05-18,41.0,41.26,31,8.06,0.63,-988.64,1,8.06,
358,long,MSB,2020-04-08,2020-05-18,13.41,14.7,1,1.29,9.62,-987.35,27,0.05,
359,long,STKS,2020-03-24,2020-05-19,1.06,1.53,4,1.88,44.34,-985.47,39,0.05,
360,long,EXPI,2020-05-18,2020-05-19,4.44,4.49,303,15.15,1.13,-970.32,1,15.15,
361,long,VALE,2020-04-09,2020-05-19,8.59,9.06,103,48.41,5.47,-921.91,27,1.79,
362,long,VALE,2020-04-13,2020-05-19,8.47,9.06,7,4.13,6.97,-917.78,26,0.16,
363,long,VALE,2020-04-15,2020-05-19,8.21,9.06,2,1.7,10.35,-916.08,24,0.07,
364,long,VALE,2020-04-16,2020-05-19,8.11,9.06,1,0.95,11.71,-915.13,23,0.04,
365,long,VALE,2020-04-20,2020-05-19,8.03,9.06,4,4.12,12.83,-911.01,21,0.2,
366,long,VALE,2020-04-21,2020-05-19,7.74,9.06,5,6.6,17.05,-904.41,20,0.33,
367,long,VALE,2020-04-22,2020-05-19,7.92,9.06,1,1.14,14.39,-903.27,19,0.06,
368,long,VALE,2020-04-24,2020-05-19,7.61,9.06,3,4.35,19.05,-898.92,17,0.26,
369,long,VALE,2020-04-27,2020-05-19,7.87,9.06,4,4.76,15.12,-894.16,16,0.3,
370,long,VALE,2020-04-28,2020-05-19,7.99,9.06,2,2.14,13.39,-892.02,15,0.14,
371,long,VALE,2020-05-01,2020-05-19,7.96,9.06,8,8.8,13.82,-883.22,12,0.73,
372,long,VALE,2020-05-06,2020-05-19,7.79,9.06,5,6.35,16.3,-876.87,9,0.71,
373,long,VALE,2020-05-12,2020-05-19,8.27,9.06,8,6.32,9.55,-870.55,5,1.26,
374,long,MSB,2020-04-08,2020-05-19,13.41,15.36,2,3.9,14.54,-866.65,28,0.14,
375,long,DMLP,2020-01-24,2020-05-20,17.51,12.02,3,-16.47,-31.35,-883.12,81,-0.2,
376,long,STKS,2020-03-24,2020-05-20,1.06,1.48,16,6.72,39.62,-876.4,40,0.17,
377,long,MSB,2020-04-08,2020-05-20,13.41,15.97,49,125.44,19.09,-750.96,29,4.33,
378,long,MSB,2020-04-09,2020-05-20,14.13,15.97,1,1.84,13.02,-749.12,28,0.07,
379,long,MSB,2020-04-15,2020-05-20,12.14,15.97,12,45.96,31.55,-703.16,25,1.84,
380,long,MSB,2020-04-16,2020-05-20,11.83,15.97,5,20.7,35.0,-682.46,24,0.86,
381,long,MSB,2020-04-20,2020-05-20,12.7,15.97,1,3.27,25.75,-679.19,22,0.15,
382,long,MSB,2020-04-21,2020-05-20,12.28,15.97,1,3.69,30.05,-675.5,21,0.18,
383,long,MSB,2020-04-30,2020-05-20,14.21,15.97,9,15.84,12.39,-659.66,14,1.13,
384,long,MSB,2020-05-06,2020-05-20,13.88,15.97,2,4.18,15.06,-655.48,10,0.42,
385,long,MSB,2020-05-07,2020-05-20,13.92,15.97,1,2.05,14.73,-653.43,9,0.23,
386,long,MSB,2020-05-11,2020-05-20,14.19,15.97,2,3.56,12.54,-649.87,7,0.51,
387,long,MSB,2020-05-12,2020-05-20,14.01,15.97,6,11.76,13.99,-638.11,6,1.96,
388,long,MSB,2020-05-14,2020-05-20,12.84,15.97,2,6.26,24.38,-631.85,4,1.57,
389,long,INMD,2020-05-19,2020-05-21,12.84,13.42,2,1.16,4.52,-630.69,2,0.58,
390,long,EXPI,2020-05-20,2020-05-21,4.57,4.56,3,-0.03,-0.22,-630.72,1,-0.03,
391,long,TER,2020-05-18,2020-05-21,59.24,62.18,22,64.68,4.96,-566.04,3,21.56,
392,long,RVLV,2020-05-21,2020-05-22,13.4,14.02,107,66.34,4.63,-499.7,1,66.34,
393,long,STKS,2020-03-24,2020-05-22,1.06,1.55,29,14.21,46.23,-485.49,42,0.34,
394,long,INMD,2020-05-19,2020-05-22,12.84,13.31,1,0.47,3.66,-485.02,3,0.16,
395,long,ULTA,2020-05-13,2020-05-22,203.53,219.96,6,98.58,8.07,-386.44,7,14.08,
396,long,EXPI,2020-05-20,2020-05-26,4.57,4.7,306,39.78,2.84,-346.66,3,13.26,
397,long,EXPI,2020-05-22,2020-05-26,4.48,4.7,8,1.76,4.91,-344.9,1,1.76,
